challengeID,materialHardship
6,0.0909090909090909
7,0
9,0.181818181818182
10,0.0909090909090909
13,0.181818181818182
14,0.272727272727273
16,0.0909090909090909
18,0
20,0
23,0
24,0.0909090909090909
30,0.0909090909090909
35,0.181818181818182
40,0.0909090909090909
43,0.272727272727273
45,0
46,0
47,0
52,0
53,0
55,0.363636363636364
57,0.181818181818182
58,0.0909090909090909
60,0
61,0
62,0
64,0.0909090909090909
66,0
67,0.272727272727273
69,0.181818181818182
70,0
72,0.272727272727273
79,0.454545454545455
80,0
81,0
84,0
85,0.454545454545455
87,0
93,0
94,0.181818181818182
104,0.181818181818182
107,0.181818181818182
110,0
111,0.545454545454545
119,0
123,0.181818181818182
124,0
125,0.181818181818182
127,0
131,0.0909090909090909
135,0.181818181818182
137,0
143,0
145,0
148,0.181818181818182
165,0.454545454545455
167,0.0909090909090909
168,0.0909090909090909
173,0
174,0
182,0.0909090909090909
183,0.454545454545455
185,0.454545454545455
188,0
189,0
192,0
193,0
196,0.272727272727273
199,0
203,0.0909090909090909
204,0.0909090909090909
205,0.272727272727273
208,0.0909090909090909
218,0.272727272727273
221,0.181818181818182
225,0.181818181818182
227,0
230,0
234,0
235,0
236,0.0909090909090909
237,0
238,0.363636363636364
241,0.181818181818182
242,0
247,0
248,0.272727272727273
251,0
254,0.272727272727273
257,0.272727272727273
262,0.181818181818182
263,0.181818181818182
266,0
271,0.181818181818182
279,0
281,0
282,0.272727272727273
283,0
285,0
287,0.727272727272727
289,0.0909090909090909
292,0
295,0
297,0.727272727272727
299,0
300,0
301,0
302,0
304,0
306,0
309,0.0909090909090909
310,0
314,0
315,0
317,0
318,0
321,0
324,0.818181818181818
325,0
330,0.363636363636364
331,0
332,0
334,0
338,0
339,0.545454545454545
340,0.0909090909090909
344,0.181818181818182
347,0
348,0
352,0.0909090909090909
356,0.272727272727273
359,0.545454545454545
367,0
368,0.0909090909090909
373,0
376,0
377,0
380,0
382,0
386,0
388,0
391,0
394,0
401,0.0909090909090909
403,0
407,0.181818181818182
409,0
411,0.181818181818182
413,0
417,0
424,0
425,0
426,0.0909090909090909
427,0.181818181818182
429,0.272727272727273
432,0.454545454545455
435,0
436,0.181818181818182
437,0
440,0.0909090909090909
441,0
443,0.0909090909090909
445,0
447,0.0909090909090909
449,0.454545454545455
453,0
454,0.0909090909090909
464,0
466,0
478,0
481,0.181818181818182
485,0.545454545454545
487,0
492,0.0909090909090909
496,0
497,0
499,0
501,0.272727272727273
507,0
508,0.272727272727273
509,0.272727272727273
510,0.363636363636364
511,0.272727272727273
513,0
515,0
520,0.0909090909090909
522,0.0909090909090909
525,0
528,0
530,0.0909090909090909
534,0
548,0
555,0.181818181818182
557,0
559,0.363636363636364
562,0
564,0
565,0.181818181818182
568,0.363636363636364
572,0
573,0.0909090909090909
575,0
576,0
577,0
578,0.181818181818182
580,0.181818181818182
582,0.454545454545455
584,0
585,0
586,0
587,0.181818181818182
588,0.0909090909090909
590,0
591,0
592,0
594,0
602,0
606,0.454545454545455
612,0.454545454545455
614,0.272727272727273
616,0.181818181818182
617,0
618,0.0909090909090909
622,0
624,0
633,0
635,0
636,0.0909090909090909
639,0.0909090909090909
643,0
644,0
647,0
648,0
655,0.454545454545455
661,0
664,0
666,0.0909090909090909
668,0
671,0
673,0.0909090909090909
678,0.363636363636364
680,0
683,0
684,0.0909090909090909
685,0
686,0
687,0
690,0
698,0.181818181818182
700,0
701,0
712,0.0909090909090909
713,0.0909090909090909
714,0
715,0
717,0.181818181818182
719,0
720,0.0909090909090909
727,0
728,0
732,0
733,0.454545454545455
743,0
744,0.181818181818182
748,0.0909090909090909
750,0.454545454545455
751,0.181818181818182
755,0
759,0
760,0
761,0.0909090909090909
762,0.0909090909090909
766,0.727272727272727
772,0
776,0
779,0.454545454545455
781,0.272727272727273
783,0
790,0
791,0
795,0.0909090909090909
797,0
801,0
803,0.181818181818182
805,0
806,0.363636363636364
807,0.272727272727273
808,0.272727272727273
809,0.272727272727273
812,0.0909090909090909
813,0.0909090909090909
814,0
816,0
820,0
824,0
825,0
828,0
829,0.0909090909090909
830,0.0909090909090909
831,0.181818181818182
833,0.545454545454545
834,0
837,0.0909090909090909
843,0.0909090909090909
846,0.0909090909090909
848,0
858,0.0909090909090909
859,0
860,0.0909090909090909
861,0.181818181818182
862,0.363636363636364
863,0
865,0.0909090909090909
869,0
872,0.363636363636364
874,0
877,0
879,0
886,0
887,0.181818181818182
893,0
894,0
897,0
900,0
901,0.545454545454545
905,0.0909090909090909
907,0
911,0.0909090909090909
912,0
914,0.0909090909090909
917,0
925,0
928,0.0909090909090909
931,0.0909090909090909
936,0.181818181818182
939,0
943,0.181818181818182
947,0
948,0.0909090909090909
950,0
952,0.272727272727273
953,0.0909090909090909
954,0
956,0
958,0
961,0
962,0.0909090909090909
963,0
965,0
972,0.272727272727273
975,0.272727272727273
976,0.0909090909090909
981,0.636363636363636
982,0
983,0
991,0.181818181818182
993,0
994,0
1000,0.181818181818182
1002,0.181818181818182
1004,0
1005,0.0909090909090909
1006,0
1008,0
1010,0
1011,0.0909090909090909
1012,0.363636363636364
1013,0.272727272727273
1014,0.0909090909090909
1017,0.363636363636364
1018,0
1024,0.0909090909090909
1026,0
1028,0.0909090909090909
1029,0.636363636363636
1032,0
1039,0.181818181818182
1044,0
1045,0.454545454545455
1049,0
1059,0
1062,0
1065,0.181818181818182
1069,0
1070,0.636363636363636
1071,0
1072,0.0909090909090909
1079,0
1091,0
1092,0
1095,0
1097,0
1098,0
1103,0
1105,0.0909090909090909
1106,0
1118,0.0909090909090909
1119,0
1122,0.181818181818182
1124,0.272727272727273
1130,0.181818181818182
1134,0
1135,0
1143,0
1144,0
1146,0.0909090909090909
1152,0
1157,0.363636363636364
1159,0
1161,0
1164,0
1166,0
1167,0.0909090909090909
1172,0.0909090909090909
1176,0.454545454545455
1178,0
1179,0
1181,0.454545454545455
1183,0
1184,0
1185,0
1193,0.181818181818182
1194,0
1198,0.0909090909090909
1204,0
1206,0.0909090909090909
1211,0.0909090909090909
1214,0.636363636363636
1215,0
1219,0
1222,0
1223,0.0909090909090909
1225,0
1228,0
1229,0
1232,0
1234,0
1238,0
1246,0
1248,0
1250,0
1252,0.454545454545455
1253,0.545454545454545
1254,0
1255,0.181818181818182
1256,0
1258,0.181818181818182
1259,0
1266,0
1276,0
1280,0.181818181818182
1282,0
1284,0
1286,0
1289,0.0909090909090909
1297,0.636363636363636
1298,0.272727272727273
1301,0
1303,0
1304,0.0909090909090909
1306,0.272727272727273
1307,0.0909090909090909
1312,0.454545454545455
1319,0.0909090909090909
1323,0
1325,0.363636363636364
1326,0
1329,0
1331,0
1336,0
1340,0.0909090909090909
1341,0.727272727272727
1349,0.454545454545455
1350,0
1352,0
1356,0
1359,0.545454545454545
1361,0.272727272727273
1362,0
1367,0
1371,0
1372,0
1373,0
1375,0.0909090909090909
1378,0.454545454545455
1382,0.272727272727273
1383,0.363636363636364
1384,0
1386,0
1387,0
1388,0.272727272727273
1389,0
1391,0.363636363636364
1402,0.636363636363636
1403,0.454545454545455
1408,0
1410,0
1411,0
1412,0
1418,0.0909090909090909
1420,0.272727272727273
1421,0.0909090909090909
1423,0
1432,0
1434,0
1436,0.272727272727273
1442,0
1444,0
1448,0
1452,0.272727272727273
1453,0
1460,0
1462,0.0909090909090909
1463,0
1465,0
1467,0.181818181818182
1471,0.272727272727273
1473,0
1474,0.0909090909090909
1476,0.272727272727273
1477,0
1480,0
1483,0.0909090909090909
1484,0.363636363636364
1485,0
1487,0.363636363636364
1490,0
1495,0.0909090909090909
1496,0
