challengeID,grit
6,3.5
7,3.25
9,4
10,3.25
13,4
14,2.75
16,3.5
18,3
20,3
23,3.25
24,3.5
30,4
35,3
40,3.5
43,3.25
45,4
46,4
47,3.25
52,4
53,3.75
55,3
57,3
58,3.75
60,3.5
61,3.5
62,3.25
64,3
66,4
67,3.75
69,2.75
70,2.75
72,2.75
80,3
81,4
84,4
85,3.5
87,3.75
93,3.75
94,3.25
104,3.5
107,3.5
110,4
111,3.25
119,3.25
123,3
124,4
125,2.5
131,3.5
135,2.5
137,3.25
143,4
145,4
148,3.5
165,2.75
167,2.25
168,4
173,3.25
174,3.5
182,3.75
183,3.25
185,3.5
188,4
189,3.25
192,2.75
193,4
196,4
199,3.75
203,4
204,4
205,2.5
208,3.5
218,3.75
221,3.5
225,3
227,2.75
230,3.25
234,3.25
235,3.75
236,4
237,4
238,3
241,3.25
242,3.5
247,2
248,3.5
251,3.5
254,2.75
257,3.75
262,3.5
263,4
271,4
281,3.25
282,4
283,4
285,3.75
287,1.5
289,3
292,3.75
295,2
297,2.75
300,3
301,4
302,4
304,3.25
306,3.25
309,3.5
310,3.75
314,3.5
315,4
317,4
318,4
321,4
324,4
325,3.75
330,3.75
331,3.5
332,3.75
334,4
338,4
339,3.25
340,3.75
344,4
347,2.25
352,3
356,2.25
359,3.25
367,2.75
368,3.5
373,3.75
376,4
377,3.25
380,3.5
382,4
386,4
388,3.5
391,3
394,4
401,3.25
403,3
407,3.25
409,3
411,3.25
413,4
417,3.75
424,4
425,3.25
426,3.25
427,4
429,4
432,3.75
435,2.75
436,3.5
437,3.5
440,3.75
441,1.75
443,3.75
445,4
447,2
449,3.5
453,3
454,3
466,3
478,3.75
481,3
485,3.5
487,2.75
492,4
496,3.5
497,3
499,4
501,4
507,3.25
508,4
509,3.75
510,3.25
511,3.75
513,3
515,3
520,3.75
522,3.5
525,3
528,3.25
530,3.5
534,4
548,4
555,4
557,3.5
559,3.25
562,3
564,3.5
565,3.75
568,3.75
572,3.5
573,3.25
575,3.75
576,3
577,4
578,3.75
580,3.25
582,3.25
584,3.25
585,3.25
586,2.75
587,3.75
588,2.75
590,2.75
591,3.25
592,3.75
594,3.5
602,3.25
606,2.5
612,3.25
614,3.75
616,3
617,2.5
618,3.75
622,2.5
624,3
633,3.25
635,3
636,3.25
643,4
644,3.25
647,4
648,4
653,2.25
655,3.25
661,3
664,3.75
666,3.5
668,3.25
671,3.25
673,3.25
678,3.25
680,4
683,3.75
684,3.5
685,4
687,3.5
690,3.25
698,2.25
700,3.75
701,3.5
712,3.5
713,3.75
714,3.25
715,4
717,4
719,4
720,3.25
728,4
733,3.75
738,3.75
743,3.5
744,3.5
750,3.5
751,3.75
755,3.25
759,2.75
760,3.25
761,3.5
762,2.25
766,3.25
772,4
776,4
779,3.75
781,2.75
783,4
790,3.75
791,3.5
795,3.25
803,2.75
805,3.25
806,4
807,4
808,3.5
809,4
812,4
813,3
814,3.75
816,3
820,4
824,3.5
825,4
828,4
829,3.25
830,4
831,3
833,2.5
834,3.75
837,3.25
843,4
846,3.5
848,4
858,4
859,3
860,2.75
861,3.75
863,2.5
865,4
869,2.75
872,3
874,3
877,3.75
879,4
886,3.75
887,2
893,3.75
894,4
897,3.75
900,4
901,3.25
905,4
911,3.75
912,4
914,3.25
917,3
925,3
928,3
931,3.5
936,3.75
939,2.75
943,3.5
947,4
948,2.75
950,3.5
952,3.75
953,3.75
954,3.75
956,4
961,4
962,3.75
963,2
965,3
972,3.25
975,4
976,3.5
981,4
983,4
991,3.75
993,3.75
994,3.5
1000,3.75
1002,3
1004,3
1005,3.25
1006,3.25
1008,3.75
1010,4
1012,3
1013,3.5
1014,3.75
1017,3
1018,4
1024,3.75
1028,3.5
1029,3.5
1032,3
1039,4
1044,3
1045,4
1049,3.75
1059,3.25
1062,2.5
1065,3.25
1069,3
1070,3.75
1071,3
1072,3.75
1079,4
1091,3.5
1092,3
1095,3
1097,3.75
1098,4
1103,3.5
1105,3.25
1106,4
1118,3.5
1119,3.25
1122,3.5
1124,3
1130,4
1134,3
1135,4
1143,3
1144,3.25
1146,3.75
1152,3.5
1157,2.75
1159,4
1161,3.75
1164,3.5
1166,3.75
1167,2.5
1172,3.5
1176,4
1178,4
1179,3.25
1181,2.75
1183,3.25
1184,3.25
1185,3.5
1193,2.75
1194,3
1198,3
1204,3
1206,3
1211,4
1214,4
1215,3.25
1219,3.5
1222,4
1223,4
1225,2.75
1228,4
1229,3.75
1231,3.25
1232,3
1234,4
1238,3.5
1246,3.25
1248,3.5
1250,3.25
1252,3
1253,3.5
1254,4
1255,3.25
1256,4
1258,3.25
1259,3.25
1266,3
1276,2.75
1280,3
1282,3
1284,3.25
1286,3.5
1289,4
1297,4
1298,3.25
1301,3.25
1303,4
1304,3.75
1306,3.25
1307,3.25
1312,2.5
1319,2
1323,3.75
1325,2.25
1326,3.75
1329,4
1331,3
1336,3.75
1340,4
1341,2.75
1349,3
1350,4
1352,3.25
1356,3.75
1359,3
1361,3
1362,1.75
1367,4
1371,3
1372,3.75
1373,2.75
1375,3.75
1378,3
1382,3.75
1383,3.75
1384,3.5
1386,4
1387,3.75
1388,3.25
1389,3
1391,4
1402,3.25
1403,3.25
1408,3.25
1410,3
1412,2.5
1418,4
1420,3.75
1421,4
1432,3.75
1434,4
1436,3.25
1442,3.5
1444,3.75
1448,3
1452,3.5
1453,3
1460,4
1462,3.25
1463,2.75
1465,4
1467,4
1471,3
1473,3.75
1474,3.5
1476,3.75
1477,4
1480,3.5
1483,2.5
1484,4
1485,3
1487,2.75
1490,3.25
1495,3.5
1496,3.25
1499,3.25
1500,4
1505,3.75
1506,4
1510,2.75
1514,3.25
1518,4
1521,4
1523,4
1530,3.75
1533,2.75
1534,3.25
1538,2.5
1542,3.5
1545,3.25
1547,3.25
1550,3.25
1555,4
1557,4
1562,3
1563,2.5
1564,3.25
1566,3.25
1569,3.75
1572,3.25
1573,3.75
1574,3.5
1583,2.25
1584,4
1588,3.75
1590,3
1592,4
1593,3.75
1594,3
1596,3.75
1602,4
1603,3
1604,2.5
1605,3.5
1608,3.5
1611,4
1612,3.5
1616,2.75
1619,3.5
1620,3.75
1621,4
1624,4
1626,3.25
1628,2.75
1632,3.5
1634,3.25
1637,3.75
1639,3
1641,3.75
1643,4
1646,3.75
1648,3.5
1650,3.25
1652,3
1654,4
1657,4
1660,3.25
1663,4
1664,4
1667,3
1670,3.5
1675,3
1677,3.5
1679,4
1680,4
1682,4
1686,2
1688,3.25
1692,4
1696,4
1701,3.25
1702,3.75
1713,3.75
1715,3.5
1723,2.75
1724,2.75
1726,3.5
1729,3.5
1732,2.75
1733,3.75
1734,3.25
1735,3
1737,3.25
1739,3.25
1740,3
1741,4
1744,3.75
1746,3.25
1750,3.75
1753,3.75
1755,3.75
1756,4
1757,3.5
1761,3.5
1763,3.25
1765,3.25
1771,3
1772,4
1783,3
1788,3.25
1790,4
1791,3.75
1793,3.75
1795,3.25
1800,2.75
1804,3.5
1806,4
1807,3
1808,3.75
1810,3
1812,4
1814,3.75
1815,4
1817,3.75
1821,4
1824,3.5
1825,4
1827,3.25
1829,3.75
1831,4
1833,3
1838,3.5
1839,4
1846,3.5
1852,3.25
1863,3.5
1868,3
1873,3.25
1874,3.75
1875,4
1878,4
1881,3
1883,3
1886,3.25
1888,2.75
1893,3.25
1897,3
1900,3
1903,3.75
1906,3.5
1907,3.5
1909,3
1911,3.25
1912,3
1920,3
1927,3.5
1928,1.5
1932,4
1933,3.25
1941,2.75
1942,4
1954,3.75
1955,3
1958,3.25
1965,4
1970,3.75
1978,3.5
1981,3
1992,3.5
1995,3.25
2006,4
2012,3.25
2014,3.75
2015,3.25
2020,3.75
2024,3.25
2027,4
2030,4
2032,4
2036,3.5
2038,3.25
2039,3.5
2041,3.75
2052,4
2054,3.75
2056,4
2058,3
2062,4
2066,3
2067,3
2069,3.75
2070,4
2071,3.5
2075,3.5
2077,2.5
2079,3.75
2084,3.25
2092,4
2094,2.75
2095,2.75
2099,3.25
2102,4
2103,4
2107,4
2109,4
2110,3.5
2115,3.75
2117,4
2118,3.75
2119,3.75
2120,3
2121,1.75
2124,4
2126,3.25
2128,3.75
2130,3.75
2134,2.75
2137,3.5
2140,3
2142,3.5
2149,2.75
2150,3.5
2151,4
2160,3
2165,3.75
2166,2.75
2169,3.75
2174,3.25
2175,2.5
2177,3.25
2180,3.5
2181,3.25
2182,3
2185,3.75
2186,4
2189,3.25
2190,3.75
2193,3.25
2197,2.75
2200,3.75
2203,3.5
2207,3
2209,3.75
2213,3.5
2215,3.75
2216,3.75
2217,3.5
2221,3
2227,3.75
2228,3
2232,3
2233,3.25
2234,3.75
2235,3.75
2236,3.25
2239,3.5
2248,3.25
2249,3.5
2255,4
2256,2.25
2260,3
2265,3
2266,3.75
2273,3.5
